row ID,x,y,z,r,"Benzenepropanoic acid, 4-hydroxy-",4-Methylcinnamic acid,8-Methylnonanoic acid,Diethyltoluamide,Caffeine,delta-Dodecalactone,N-Tetradecanoyl-L-homoserine Lactone,Diphenhydramine 147-24-0,Myristic acid ethyl ester,"cis-9,10-methylene-hexadecanoic acid",Diisobutyl phthalate,"Conjugated linoleic Acid (10E,12Z)",Iodopropynyl butylcarbamate,Oleic acid,(-)-Epicatechin,Dihydrosphingosine (19:0),Phytosphingosine,Monoelaidin,Sodium laureth sulfate + Na,Dioctyl phthalate,Tributoxyethyl phosphate,Hydrocortisone valerate
Plate5_V4_GA10_01_16783,52.4174,-41.1569,41.2208,0.6,0,0,3891.709961,27502.19922,0,0,13248.2998,0,0,0,11880.90039,16199.90039,0,100987,0,0,2329.550049,6072.390137,0,8400.669922,23896.5,0
Plate5_V4_GA11_01_16784,52.7267,-39.8328,40.6193,0.6,0,0,15531,34363.60156,8097.569824,0,14123,0,0,0,18520.40039,14384.40039,0,72016.5,0,0,0,8112.669922,0,8896.799805,37168.60156,0
Plate5_V4_GA12_01_16785,54.2161,-42.9871,40.8101,0.6,0,0,7624.839844,19109.90039,0,29058.30078,16109.7998,0,0,0,12680.7002,18910.90039,0,52848.39844,0,0,4362.330078,14228,0,8259.080078,22304.59961,0
Plate5_V4_GA5_01_16786,53.1943,-42.167,42.8728,0.6,0,0,3871.929932,24762.5,3065.080078,0,14332.2002,0,0,0,14776.2002,15216.5,0,111681,0,0,0,4064.110107,0,9945.530273,12503.7998,0
Plate5_V4_GA6_01_16787,53.0508,-40.1781,42.8822,0.6,0,1839.23999,7315.310059,43016.80078,0,0,18306.80078,0,0,0,10127.90039,20245.40039,0,90989,6769.819824,5463.680176,11177.5,13583.59961,0,9491.160156,19710,20174.30078
Plate5_V4_GA7_01_16780,53.3295,-42.2412,42.0646,0.6,0,0,7544.919922,45152.80078,0,0,27678,0,0,0,16827.30078,13773.09961,0,69325.20313,9607.080078,0,6832.089844,5356.029785,0,10567.7002,27323.5,0
Plate5_V4_GA8_01_16781,52.9222,-40.0867,42.2357,0.6,0,0,8622.5,52950,7599.02002,0,29632.19922,0,0,0,21572.09961,19610.09961,0,85544.29688,0,4545.399902,9192.360352,12768.7998,0,15407.2002,40642.10156,0
Plate5_V4_GA9_01_16782,53.7946,-42.5884,41.4501,0.6,0,0,7742.5,40782.30078,12341.5,0,19251.69922,0,0,0,19003.09961,18918.69922,0,101896,0,7704.299805,12124.2998,15209.59961,0,21442.30078,27296,0
Plate5_V4_GB10_01_16799,51.7153,-42.5215,35.8303,0.6,0,0,15580.2998,30471.80078,4827.839844,0,20765.40039,0,0,0,21675.69922,18143.09961,3655.389893,73511.20313,0,1712.150024,2633.899902,7093.390137,0,17657.69922,24007.90039,0
Plate5_V4_GB11_01_16800,51.6477,-42.4745,35.0275,0.6,0,0,5890.830078,62808.89844,0,0,10419.2002,0,0,0,18519.90039,11833.59961,17805.59961,113534,0,0,0,0,0,4984.509766,17070.5,0
Plate5_V4_GB12_01_16801,52.3336,-41.9472,37.8788,0.6,8075.330078,0,6983,20630.80078,0,32130.5,20893.09961,0,0,0,11795.7998,16131.2998,0,87560.60156,0,3511.72998,8710.94043,1990.800049,0,14066.7002,45603.19922,0
Plate5_V4_GB1_01_16790,52.1962,-41.5096,39.9571,0.6,0,0,0,11124.59961,0,0,4969.149902,0,0,0,15241,0,0,15199.09961,0,0,0,0,0,9227.790039,10730.90039,0
Plate5_V4_GB2_01_16791,52.2368,-40.3767,39.6203,0.6,0,0,7782.790039,27689.80078,4522.339844,0,18974.69922,0,0,0,16736.30078,18239.40039,0,114666,0,11298.2002,0,7749.359863,0,13277.59961,20957.40039,0
Plate5_V4_GB3_01_16792,51.9544,-41.3407,38.8286,0.6,0,0,8667.429688,64905.10156,0,0,17693.5,0,0,0,23921.5,19734.09961,0,97454.89844,0,0,0,7913.149902,0,19050.5,47788.69922,0
Plate5_V4_GB4_01_16793,54.0657,-43.4013,39.7591,0.6,0,0,7900.160156,46506.60156,3032.830078,0,29337.90039,0,0,2158.590088,14044.7998,23808.80078,3052.73999,103249,0,6510.850098,0,8800.160156,0,13031,30034.30078,0
Plate5_V4_GB5_01_16794,53.8185,-43.6394,38.5747,0.6,0,0,3313.969971,29757,10069.2002,0,23158.80078,0,0,0,16892.30078,24140.69922,19060.40039,82001.60156,0,0,0,10880.40039,0,12681,34155.30078,0
Plate5_V4_GB6_01_16795,53.4473,-43.6307,36.9587,0.6,0,0,6362.569824,142082,0,4356.899902,8971.019531,0,0,0,13628.2998,18184.59961,50002.5,92741.10156,0,0,0,5234.700195,0,6158.399902,7662.040039,0
Plate5_V4_GB7_01_16796,53.3939,-42.6029,39.0573,0.6,0,0,8323.709961,39064,18835.40039,1586.530029,18783.5,0,0,0,18548,14905.09961,0,99225,0,8158.589844,14687.2998,4115.319824,0,23739.30078,33225.5,0
Plate5_V4_GB8_01_16797,52.0706,-42.4682,38.1525,0.6,0,0,8370.530273,40482.39844,0,0,23368.30078,0,0,0,13555.5,23119.69922,0,146938,0,0,0,6162.080078,0,12863.09961,28002.19922,0
Plate5_V4_GB9_01_16798,51.8937,-42.5584,37.0941,0.6,0,0,6713.649902,30251.5,0,0,18029.40039,0,0,0,13921.5,5929.02002,1920.319946,24650,24449.09961,0,0,7646.319824,0,10196.40039,28658.09961,0
Plate5_V4_GC10_01_16813,52.7668,-40.0319,37.8875,0.6,0,0,3009.679932,19287.40039,0,0,5381.379883,0,0,0,12272.5,15686.90039,0,30270.90039,0,0,0,9992.879883,0,4246.919922,28383.69922,0
Plate5_V4_GC11_01_16814,52.5782,-39.5372,37.8282,0.6,0,0,5266.839844,28912.09961,8522.950195,0,18953,0,0,0,16079.09961,15329.2998,0,64908.80078,0,0,8880.150391,5779.819824,0,11000,24154.5,0
Plate5_V4_GC12_01_16815,52.5643,-39.4751,37.0259,0.6,0,0,2658.300049,37685.19922,6788.910156,0,12712.7998,0,0,0,21707.30078,16040.2002,7515.629883,26881.5,0,0,0,5127.490234,0,12214.5,34210.80078,0
Plate5_V4_GC1_01_16804,51.7942,-41.5295,37.6546,0.6,3448.169922,0,0,0,0,0,0,0,0,0,11111.5,0,0,6552.620117,0,0,0,0,0,5440.509766,0,0
Plate5_V4_GC2_01_16805,51.674,-41.5334,36.8023,0.6,0,10705,7189.209961,34963.69922,0,0,11923.09961,0,3362.669922,0,26396.40039,15887.90039,0,66775.60156,0,0,5634.25,7897.029785,0,9358.519531,35454.19922,0
Plate5_V4_GC3_01_16806,51.5527,-41.5477,35.6651,0.6,8560.480469,0,0,19244.30078,1773.780029,0,12944.7002,0,0,0,12689.90039,13317.5,0,51750.89844,0,0,0,0,0,9587.589844,6808.890137,0
Plate5_V4_GC4_01_16807,51.3761,-41.352,34.5144,0.6,0,0,7724.430176,132379,0,5840.379883,12199.90039,0,0,0,10004.59961,13135.40039,11012.40039,88573.60156,0,0,0,5031.240234,0,14718,10320.7998,0
Plate5_V4_GC5_01_16808,52.4002,-40.9575,37.8244,0.6,0,0,8769.259766,19899.80078,3039.77002,6969.52002,6341.060059,0,0,0,13472.2998,14311.90039,0,16981.90039,0,0,0,12419.7998,0,10565.7002,42733.10156,0
Plate5_V4_GC6_01_16809,52.0503,-40.6068,37.6827,0.6,0,0,6458.870117,17632,0,0,6248.259766,0,0,0,10541.40039,13711.2002,0,73162.89844,7802.27002,3224.389893,2623.560059,11914.90039,0,12344,23819.90039,0
Plate5_V4_GC7_01_16810,51.9702,-40.5547,36.8986,0.6,19652.90039,0,7556.75,21874.30078,0,0,14661.2998,0,0,0,21311.30078,11620.5,0,38522.10156,0,0,0,5815.060059,0,11026.40039,33499.69922,0
Plate5_V4_GC8_01_16811,51.8322,-40.5289,36.0189,0.6,0,0,4442.049805,21394.30078,7136.459961,0,11573.7998,0,0,1518.640015,17371.30078,12504.59961,0,42246.5,0,0,0,7186.02002,0,11482.59961,26507.40039,0
Plate5_V4_GC9_01_16812,51.5819,-40.4802,34.9994,0.6,0,0,4320.399902,100033,0,0,5824.97998,0,0,0,16232.40039,16708.5,3728.040039,97161,0,0,0,0,0,11539.2002,9480.370117,0
Plate5_V4_GD10_01_16827,53.3263,-40.8643,38.871,0.6,5933.640137,0,5178.370117,33772.19922,0,0,28575.09961,0,0,0,18606.69922,22074.69922,2713.969971,92517.20313,0,0,6905.189941,13879.59961,0,21765.19922,80648.29688,0
Plate5_V4_GD11_01_16828,54.0187,-43.3728,39.8916,0.6,6872.25,0,4808.689941,45959.39844,0,0,16429.59961,0,0,0,13984.2998,10415.09961,4515.580078,66902,0,0,5124.240234,12137.2998,0,11730.5,55349.30078,0
Plate5_V4_GD12_01_16829,53.7908,-42.9729,38.1745,0.6,0,0,7927.660156,49015.30078,45905.5,3294.379883,26308.5,0,0,0,16895.5,20877.90039,10236.7002,38060.5,0,0,6000.290039,4919.410156,0,14201.90039,69989,0
Plate5_V4_GD1_01_16818,52.4301,-39.4826,36.133,0.6,0,0,3728.699951,66448.5,0,0,8857.089844,0,0,0,18357.90039,13557.2002,10310.2998,99078.89844,8071.77002,0,0,3359.060059,0,9860.950195,14900.5,0
