row ID,x,y,z,r,Phenylalanine,Isopentenyl pyrophosphate,Diethyltoluamide,Dimethyl phthalate,Caffeine,delta-Dodecalactone,L-Tryptophan,N-Tetradecanoyl-L-homoserine Lactone,Glycyl-L-phenylalanine,Oxybenzone,Diethyl azelate,Myristic acid ethyl ester,"cis-9,10-methylene-hexadecanoic acid",Doxylamine,Dextromethorphan,4-Acetylpiperidinium Chloride,Diisobutyl phthalate,"Conjugated linoleic Acid (10E,12Z)",Oleic acid,(-)-Epicatechin,Avobenzone,Dihydrosphingosine (19:0),Phytosphingosine,Sodium Laureth Sulfate,Monoelaidin,Hexapropylene glycol,Sodium Laureth Sulfate + Na,Dioctyl phthalate,Tributoxyethyl phosphate,Glycodeoxycholic acid,Glycocholic acid
Plate1_V3_B2_01_12194,-11.2091,-2.1313,36.5234,0.6,0,0,0,0,0,0,0,0,0,130229,0,0,0,0,18649,0,0,0,15739.7998,0,141035,0,0,68960,0,0,11094.40039,5185.939941,42457.10156,0,0
Plate1_V3_B3_01_12198,-9.2461,-4.2654,36.9833,0.6,0,0,12717.09961,0,0,0,348404,17116.59961,0,68784,0,0,13739.7998,0,28772.30078,0,0,6270.399902,59306.80078,0,103187,0,30378.30078,68406.39844,0,0,30154.5,15267.7002,44292.10156,0,0
Plate1_V3_B4_01_12199,-8.246,-4.7718,36.9162,0.6,0,0,12924.2998,0,0,0,96021.20313,13416.2002,0,181213,0,0,23417.19922,0,32876.69922,0,0,6913.370117,66973.10156,0,124385,0,25506.90039,25499.40039,0,0,10137.2998,7208.540039,24487.19922,0,0
Plate1_V3_C10_01_12203,-10.7429,-1.0735,33.8251,0.6,0,0,6697.620117,0,0,0,173294,23409.30078,0,42922.60156,0,0,14174.2998,0,18288,0,16441.69922,22585.80078,53802.89844,0,49107,0,18041.09961,49316.10156,0,0,12061.2002,0,23956,0,0
Plate1_V3_C1_01_12200,-9.4815,-3.1248,32.6825,0.6,0,0,17061.59961,0,0,0,62315.69922,18877.80078,0,72381.10156,0,0,40006.69922,0,26368.90039,0,16871.69922,6560.22998,83795,0,56670.10156,0,31083.09961,65937.5,0,0,22259.30078,6800.72998,27052.30078,0,0
Plate1_V3_C5_01_12201,-10.6038,-2.3154,33.9712,0.6,0,0,26213.19922,0,0,0,80321.29688,27197.90039,0,171714,0,0,12886.59961,0,45812,0,0,5163.549805,62039.5,0,112389,0,20807.59961,116641,0,0,29446.19922,11587.2002,84547.89844,0,0
Plate1_V3_C7_01_12220,-8.8633,-1.6254,32.139,0.6,0,0,32883.80078,0,0,0,0,13846.2002,0,326122,0,0,14609.2998,0,21694.90039,0,0,7903.600098,64885.10156,0,55820.89844,0,11202.2998,102677,0,0,29345.69922,5233.790039,66543.79688,0,0
Plate1_V3_D4_01_12206,-9.6647,-1.7473,38.1282,0.6,0,0,17722.80078,0,0,0,86787.79688,13751.2998,0,72354.39844,0,0,11668.5,0,30146.5,0,0,6249.100098,46482.30078,0,64728.80078,0,25595,29487.40039,0,0,11068.7002,5766.740234,29819,0,0
Plate1_V3_D7_01_12207,-10.1473,-2.2866,36.3505,0.6,0,0,23137.80078,0,51072.69922,0,140076,12973.09961,0,90197.60156,0,0,0,0,46702.89844,0,12512.2002,6524.560059,44134.10156,0,75911.60156,0,18777.59961,35824.89844,0,0,13643,5197.129883,22036.09961,0,0
Plate1_V3_E1_01_12208,-9.5549,-4.5225,34.4058,0.6,0,0,14345.40039,0,0,0,104749,12793.2002,0,87770.60156,0,0,0,0,22558.30078,0,16664.80078,6128.899902,40694.19922,0,77132.89844,0,11830.2998,25397.30078,0,0,9565.269531,5944.120117,14289.40039,0,0
Plate1_V3_E4_01_12209,-9.8325,-3.9053,35.1817,0.6,0,0,16964.30078,0,0,0,116671,6907.689941,0,39808.60156,0,0,0,0,19364,0,0,0,23797.40039,0,0,0,12728.2998,23343.5,0,0,0,0,11458.7002,0,0
Plate1_V3_E6_01_12210,-8.9868,-2.9159,32.9657,0.6,0,0,25372.30078,0,17506.59961,0,291018,12198,0,231688,0,0,11892.2998,0,33129.5,0,0,5600.930176,38568.69922,0,145021,0,13363,39393.80078,0,0,33194.89844,0,22931.5,0,0
Plate1_V3_F12_01_12172,-7.253,-4.6344,1.3167,0.6,0,0,20311.59961,0,0,0,140059,0,0,0,0,0,0,0,249823,0,13201.40039,0,18177.59961,0,0,0,21051.59961,12327.2998,0,0,0,0,0,0,0
Plate1_V3_F2_01_12211,-10.2607,-0.9702,34.0016,0.6,0,0,13304.2002,0,0,0,124081,11964.7998,0,90703.89844,0,0,25811.40039,0,21134.40039,0,0,6750.680176,68776.39844,0,135161,0,31435,47704.5,0,0,19160.09961,16422.59961,21342.5,0,0
Plate1_V3_F5_01_12212,-4.5291,-3.7275,4.0411,0.6,0,0,8154.430176,0,0,0,90584.20313,0,0,5461.649902,0,0,0,0,336253,0,20315.90039,0,26402.5,0,0,0,30824.69922,17791.09961,0,0,0,6003.680176,0,0,0
Plate1_V3_F9_01_12171,-6.3656,-2.9713,1.5803,0.6,0,0,19725.90039,0,0,0,92631.89844,0,0,0,0,0,0,0,245431,0,16547.80078,0,15657,0,0,0,23527.5,14402.7002,0,0,0,8074.549805,0,0,0
Plate1_V3_G10_Rerun_GA1-_01_19726,-7.2293,-6.8055,1.1977,0.6,0,0,7261.5,0,0,0,0,0,0,40237.30078,0,0,0,0,114057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
