row ID,x,y,z,radius,Tryptophan,Hexadecenoic acid,Triethyl citrate,Octadecenoic acid,Piperine,Sphingosine (d17:1),Epicatechin,Aspartame,4-Sphingenine,Fluconazole,Avobenzone,Phytosphingosine,Monoethanolamine oleic acid amide,Erucamide,Cocamidopropyl betaine,Sodium Laureth Sulfate,Octocrylene,Tangeretin,Sodium laureth sulfate + Na,7-Ketocholesterol,Nobiletin,Azoxystrobin,Amlodipine,Taurocholate,Oleoyl lysolecithin,Sphingomyelin,Lactosylceramide
P1_Vol1_Arm_RA10_01_5668,2.011167,0.806904,1.066514,0.05,0,27030.80078,0,61976,0,17068.09961,17429.5,0,0,1461930,0,0,0,335660,437307,12434.2998,0,0,0,33166.5,0,0,0,0,0,0,0
P1_Vol1_Arm_RA11_01_5669,2.202232,0.873741,0.779489,0.05,0,16683.69922,0,11932.7998,0,6993.180176,27739.59961,0,0,1528960,0,0,0,357051,276982,5506.970215,0,0,0,38541.19922,0,0,0,0,0,0,0
P1_Vol1_Arm_RA12_01_5670,2.191309,0.796207,0.79329,0.05,0,14000.2002,0,27715.69922,0,6981.609863,0,0,0,0,0,0,0,278319,303828,10866.40039,0,0,9513.889648,23578.80078,0,0,0,0,0,0,0
P1_Vol1_Arm_RA9_01_5646,2.028709,0.89223,1.092027,0.05,0,0,0,0,0,11568.5,0,0,5516.509766,1945160,0,0,0,126571,437879,0,0,0,0,12807.90039,0,0,0,0,0,0,0
P1_Vol1_Chest_RB10_01_5650,2.252609,0.626947,1.012079,0.08,0,0,0,24018.40039,0,0,19284.40039,0,0,2176210,0,0,0,200743,332950,15931.2002,0,0,0,10173.7998,0,0,0,0,0,0,0
P1_Vol1_Chest_RB11_01_5679,2.152813,0.817946,0.956505,0.08,0,17704.09961,0,43385.60156,0,0,23540.90039,0,0,1739200,0,0,0,283318,218458,11981.2002,0,0,0,28972,0,0,0,0,0,1324750,0
P1_Vol1_Computer_RD10_01_5698,1.810174,0.665212,0.735571,0.05,0,149497,0,68728.60156,9925.69043,12726.7998,27168.40039,0,0,912782,5850.580078,10748.7998,0,2111220,2748980,91791.29688,9699.200195,0,26311.59961,163902,0,0,0,0,0,0,0
P1_Vol1_Computer_RD11_01_5699,1.765493,0.72683,0.842002,0.05,0,65652.10156,0,45808.39844,0,14926.7998,24317.30078,0,0,1569630,0,0,0,352281,994479,31770.69922,0,0,0,143827,0,0,0,0,0,0,0
P1_Vol1_Computer_RD12_01_5700,1.841942,0.735326,0.758821,0.05,0,29246.69922,0,62181.69922,0,0,26621.69922,0,0,1373640,0,0,0,376962,201974,0,0,0,0,39485.60156,0,0,0,0,0,0,0
P1_Vol1_Computer_RD5_01_5655,1.955533,0.81458,0.723128,0.05,0,0,0,28134.40039,0,24576.69922,21360.90039,0,37102.69922,1733780,0,8938.179688,24085.30078,544953,1352680,0,0,0,0,67711,0,0,0,0,0,0,0
P1_Vol1_Computer_RD6_01_5694,2.045701,0.832293,0.868461,0.05,0,253424,0,75474.60156,0,5370.399902,19296.40039,29306.30078,26625.19922,1282690,5519.939941,0,0,530747,1722720,36145.39844,10625.2002,0,17984,596103,0,0,0,0,0,0,0
P1_Vol1_Computer_RD7_01_5695,1.866238,0.813043,0.838606,0.05,0,68445.29688,0,115821,0,5930.399902,21044.30078,0,0,1557650,0,0,0,65886.5,1328980,27008.80078,6287.689941,0,10833.2002,30135.5,0,0,0,0,0,0,0
P1_Vol1_Computer_RD8_01_5696,2.018244,0.831662,0.930447,0.05,0,22579.19922,0,13468,0,0,31325.19922,0,0,696452,0,0,0,518740,459449,0,0,0,0,71861.29688,0,0,0,0,0,0,0
P1_Vol1_Computer_RD9_01_5697,1.916601,0.729987,0.646167,0.05,0,33592.30078,0,82145.10156,0,12331.90039,39827.19922,0,0,1585840,0,0,0,358688,209105,0,0,0,0,31010.59961,0,0,0,0,0,0,0
P1_Vol1_Computer_RE1_01_5701,1.810308,0.780266,0.741722,0.05,0,152938,0,103202,0,5784.799805,19229.30078,0,0,1015670,0,0,0,215872,2863770,129392,23739.59961,0,35734.30078,217281,0,0,0,0,0,0,0
P1_Vol1_Face_RB1_01_5647,2.17692,0.30582,1.024301,0.05,0,69672.29688,0,83117.10156,85638.70313,36264.19922,13456.09961,172184,15215.2002,1642820,0,109332,69842.20313,137536,8815210,22178.5,0,0,0,25939.19922,0,0,27120.80078,0,20176.80078,0,0
P1_Vol1_Face_RB2_01_5671,2.223603,0.388335,0.979618,0.05,0,1297070,12495.90039,148551,35322,152463,19716.80078,43435.80078,101506,1372240,0,117419,48353.19922,323644,3817480,83919.60156,6719.200195,0,29202.30078,54365.19922,0,0,7831.600098,0,13323.5,0,0
P1_Vol1_Face_RB3_01_5672,2.178009,0.396925,1.080303,0.05,0,1671970,11065.59961,183450,33325.60156,126244,23855.19922,47558.89844,107825,1524610,0,127058,50211.80078,237414,5800650,73350.70313,12950,0,37654.19922,61030.69922,0,0,10537.09961,0,24842.09961,0,13132.2002
P1_Vol1_Face_RB4_01_5673,2.186508,0.407834,1.000081,0.05,0,1796320,0,324647,22204.5,22155.59961,21031.90039,101770,646834,1345980,4639.600098,162731,71863.79688,464772,2469380,40668.89844,11891.09961,0,17034.19922,76539.20313,0,0,19389.5,0,9146.589844,0,0
P1_Vol1_Face_RB5_01_5675,2.194669,0.456771,1.009203,0.05,0,632629,0,426307,149820,188614,29365.80078,61567.5,444721,1385080,0,113575,99425.39844,323271,1808460,0,26902.69922,0,11250.40039,50904.19922,0,0,6946.799805,0,447565,0,0
